index,runs,opponent,ground,date,match,Match_No,total
84,117,WestIndies,Visakhapatnam,02-Dec-11,ODI,80,3015
85,20,WestIndies,Ahmedabad,05-Dec-11,ODI,81,3035
86,23,WestIndies,Indore,08-Dec-11,ODI,82,3058
87,80,WestIndies,Chennai,11-Dec-11,ODI,83,3138
88,11,Australia,Melbourne,26-Dec-11,Test,84,3149
89,0,Australia,Melbourne,26-Dec-11,Test,85,3149
90,23,Australia,Sydney,03-Jan-12,Test,86,3172
91,9,Australia,Sydney,03-Jan-12,Test,87,3181
92,44,Australia,Perth,13-Jan-12,Test,88,3225
93,75,Australia,Perth,13-Jan-12,Test,89,3300
94,116,Australia,Adelaide,24-Jan-12,Test,90,3416
95,22,Australia,Adelaide,24-Jan-12,Test,91,3438
96,22,Australia,Sydney,01-Feb-12,T20,92,3460
97,31,Australia,Melbourne,03-Feb-12,T20,93,3491
98,31,Australia,Melbourne,05-Feb-12,ODI,94,3522
99,77,SriLanka,Perth,08-Feb-12,ODI,95,3599
100,18,Australia,Adelaide,12-Feb-12,ODI,96,3617
101,15,SriLanka,Adelaide,14-Feb-12,ODI,97,3632
102,12,Australia,Brisbane,19-Feb-12,ODI,98,3644
103,66,SriLanka,Brisbane,21-Feb-12,ODI,99,3710
104,21,Australia,Sydney,26-Feb-12,ODI,100,3731
105,133,SriLanka,Hobart,28-Feb-12,ODI,101,3864
106,108,SriLanka,Mirpur,13-Mar-12,ODI,102,3972
107,66,Bangladesh,Mirpur,16-Mar-12,ODI,103,4038
108,183,Pakistan,Mirpur,18-Mar-12,ODI,104,4221
110,106,SriLanka,Hambantota,21-Jul-12,ODI,105,4327
111,1,SriLanka,Hambantota,24-Jul-12,ODI,106,4328
112,38,SriLanka,Colombo(RPS),28-Jul-12,ODI,107,4366
113,128,SriLanka,Colombo(RPS),31-Jul-12,ODI,108,4494
114,23,SriLanka,Pallekele,04-Aug-12,ODI,109,4517
115,68,SriLanka,Pallekele,07-Aug-12,T20,110,4585
116,58,NewZealand,Hyderabad(Deccan),23-Aug-12,Test,111,4643
117,103,NewZealand,Bengaluru,31-Aug-12,Test,112,4746
118,51,NewZealand,Bengaluru,31-Aug-12,Test,113,4797
119,70,NewZealand,Chennai,11-Sep-12,T20,114,4867
120,50,Afghanistan,Colombo(RPS),19-Sep-12,T20,115,4917
121,40,England,Colombo(RPS),23-Sep-12,T20,116,4957
122,15,Australia,Colombo(RPS),28-Sep-12,T20,117,4972
123,78,Pakistan,Colombo(RPS),30-Sep-12,T20,118,5050
124,2,SouthAfrica,Colombo(RPS),02-Oct-12,T20,119,5052
125,19,England,Ahmedabad,15-Nov-12,Test,120,5071
126,14,England,Ahmedabad,15-Nov-12,Test,121,5085
127,19,England,Wankhede,23-Nov-12,Test,122,5104
128,7,England,Wankhede,23-Nov-12,Test,123,5111
129,6,England,Kolkata,05-Dec-12,Test,124,5117
130,20,England,Kolkata,05-Dec-12,Test,125,5137
131,103,England,Nagpur,13-Dec-12,Test,126,5240
132,21,England,Pune,20-Dec-12,T20,127,5261
133,38,England,Wankhede,22-Dec-12,T20,128,5299
134,9,Pakistan,Bengaluru,25-Dec-12,T20,129,5308
135,27,Pakistan,Ahmedabad,28-Dec-12,T20,130,5335
136,0,Pakistan,Chennai,30-Dec-12,ODI,131,5335
137,6,Pakistan,Kolkata,03-Jan-13,ODI,132,5341
138,7,Pakistan,Delhi,06-Jan-13,ODI,133,5348
139,15,England,Rajkot,11-Jan-13,ODI,134,5363
140,37,England,Kochi,15-Jan-13,ODI,135,5400
141,77,England,Ranchi,19-Jan-13,ODI,136,5477
142,26,England,Mohali,23-Jan-13,ODI,137,5503
143,0,England,Dharamsala,27-Jan-13,ODI,138,5503
144,107,Australia,Chennai,22-Feb-13,Test,139,5610
146,34,Australia,Hyderabad(Deccan),02-Mar-13,Test,140,5644
147,67,Australia,Mohali,14-Mar-13,Test,141,5711
148,34,Australia,Mohali,14-Mar-13,Test,142,5745
149,1,Australia,Delhi,22-Mar-13,Test,143,5746
150,41,Australia,Delhi,22-Mar-13,Test,144,5787
151,31,SouthAfrica,Cardiff,06-Jun-13,ODI,145,5818
152,22,WestIndies,TheOval,11-Jun-13,ODI,146,5840
153,22,Pakistan,Birmingham,15-Jun-13,ODI,147,5862
154,58,SriLanka,Cardiff,20-Jun-13,ODI,148,5920
155,43,England,Birmingham,23-Jun-13,ODI,149,5963
156,11,WestIndies,Kingston,30-Jun-13,ODI,150,5974
157,2,SriLanka,Kingston,02-Jul-13,ODI,151,5976
158,102,WestIndies,PortofSpain,05-Jul-13,ODI,152,6078
159,31,SriLanka,PortofSpain,09-Jul-13,ODI,153,6109
160,2,SriLanka,PortofSpain,11-Jul-13,ODI,154,6111
161,115,Zimbabwe,Harare,24-Jul-13,ODI,155,6226
162,14,Zimbabwe,Harare,26-Jul-13,ODI,156,6240
163,68,Zimbabwe,Harare,28-Jul-13,ODI,157,6308
166,29,Australia,Rajkot,10-Oct-13,T20,158,6337
167,61,Australia,Pune,13-Oct-13,ODI,159,6398
168,100,Australia,Jaipur,16-Oct-13,ODI,160,6498
169,68,Australia,Mohali,19-Oct-13,ODI,161,6566
171,115,Australia,Nagpur,30-Oct-13,ODI,162,6681
172,0,Australia,Bengaluru,02-Nov-13,ODI,163,6681
173,3,WestIndies,Kolkata,06-Nov-13,Test,164,6684
174,57,WestIndies,Wankhede,14-Nov-13,Test,165,6741
175,86,WestIndies,Kochi,21-Nov-13,ODI,166,6827
176,99,WestIndies,Visakhapatnam,24-Nov-13,ODI,167,6926
177,19,WestIndies,Kanpur,27-Nov-13,ODI,168,6945
178,31,SouthAfrica,Johannesburg,05-Dec-13,ODI,169,6976
179,0,SouthAfrica,Durban,08-Dec-13,ODI,170,6976
181,119,SouthAfrica,Johannesburg,18-Dec-13,Test,171,7095
182,96,SouthAfrica,Johannesburg,18-Dec-13,Test,172,7191
183,46,SouthAfrica,Durban,26-Dec-13,Test,173,7237
184,11,SouthAfrica,Durban,26-Dec-13,Test,174,7248
185,123,NewZealand,Napier,19-Jan-14,ODI,175,7371
186,78,NewZealand,Hamilton,22-Jan-14,ODI,176,7449
187,6,NewZealand,Auckland,25-Jan-14,ODI,177,7455
188,2,NewZealand,Hamilton,28-Jan-14,ODI,178,7457
189,82,NewZealand,Wellington,31-Jan-14,ODI,179,7539
190,4,NewZealand,Auckland,06-Feb-14,Test,180,7543
191,67,NewZealand,Auckland,06-Feb-14,Test,181,7610
192,38,NewZealand,Wellington,14-Feb-14,Test,182,7648
193,105,NewZealand,Wellington,14-Feb-14,Test,183,7753
194,136,Bangladesh,Fatullah,26-Feb-14,ODI,184,7889
195,48,SriLanka,Fatullah,28-Feb-14,ODI,185,7937
196,5,Pakistan,Mirpur,02-Mar-14,ODI,186,7942
198,36,Pakistan,Mirpur,21-Mar-14,T20,187,7978
199,54,WestIndies,Mirpur,23-Mar-14,T20,188,8032
200,57,Bangladesh,Mirpur,28-Mar-14,T20,189,8089
201,23,Australia,Mirpur,30-Mar-14,T20,190,8112
202,72,SouthAfrica,Mirpur,04-Apr-14,T20,191,8184
203,77,SriLanka,Mirpur,06-Apr-14,T20,192,8261
204,1,England,Nottingham,09-Jul-14,Test,193,8262
205,8,England,Nottingham,09-Jul-14,Test,194,8270
206,25,England,Lord's,17-Jul-14,Test,195,8295
207,0,England,Lord's,17-Jul-14,Test,196,8295
208,39,England,Southampton,27-Jul-14,Test,197,8334
209,28,England,Southampton,27-Jul-14,Test,198,8362
210,0,England,Manchester,07-Aug-14,Test,199,8362
211,7,England,Manchester,07-Aug-14,Test,200,8369
212,6,England,TheOval,15-Aug-14,Test,201,8375
213,20,England,TheOval,15-Aug-14,Test,202,8395
214,0,England,Cardiff,27-Aug-14,ODI,203,8395
215,40,England,Nottingham,30-Aug-14,ODI,204,8435
216,1,England,Birmingham,02-Sep-14,ODI,205,8436
217,13,England,Leeds,05-Sep-14,ODI,206,8449
218,66,England,Birmingham,07-Sep-14,T20,207,8515
219,2,WestIndies,Kochi,08-Oct-14,ODI,208,8517
220,62,WestIndies,Delhi,11-Oct-14,ODI,209,8579
221,127,WestIndies,Dharamsala,17-Oct-14,ODI,210,8706
222,22,SriLanka,Cuttack,02-Nov-14,ODI,211,8728
223,49,SriLanka,Ahmedabad,06-Nov-14,ODI,212,8777
224,53,SriLanka,Hyderabad(Deccan),09-Nov-14,ODI,213,8830
225,66,SriLanka,Kolkata,13-Nov-14,ODI,214,8896
226,139,SriLanka,Ranchi,16-Nov-14,ODI,215,9035
227,115,Australia,Adelaide,09-Dec-14,Test,216,9150
228,141,Australia,Adelaide,09-Dec-14,Test,217,9291
229,19,Australia,Brisbane,17-Dec-14,Test,218,9310
230,1,Australia,Brisbane,17-Dec-14,Test,219,9311
231,169,Australia,Melbourne,26-Dec-14,Test,220,9480
232,54,Australia,Melbourne,26-Dec-14,Test,221,9534
233,147,Australia,Sydney,06-Jan-15,Test,222,9681
234,46,Australia,Sydney,06-Jan-15,Test,223,9727
235,9,Australia,Melbourne,18-Jan-15,ODI,224,9736
236,4,England,Brisbane,20-Jan-15,ODI,225,9740
237,3,Australia,Sydney,26-Jan-15,ODI,226,9743
238,8,England,Perth,30-Jan-15,ODI,227,9751
239,107,Pakistan,Adelaide,15-Feb-15,ODI,228,9858
240,46,SouthAfrica,Melbourne,22-Feb-15,ODI,229,9904
241,33,U.A.E.,Perth,28-Feb-15,ODI,230,9937
242,33,WestIndies,Perth,06-Mar-15,ODI,231,9970
243,44,Ireland,Hamilton,10-Mar-15,ODI,232,10014
244,38,Zimbabwe,Auckland,14-Mar-15,ODI,233,10052
245,3,Bangladesh,Melbourne,19-Mar-15,ODI,234,10055
246,1,Australia,Sydney,26-Mar-15,ODI,235,10056
247,14,Bangladesh,Fatullah,10-Jun-15,Test,236,10070
248,1,Bangladesh,Mirpur,18-Jun-15,ODI,237,10071
249,23,Bangladesh,Mirpur,21-Jun-15,ODI,238,10094
250,25,Bangladesh,Mirpur,24-Jun-15,ODI,239,10119
251,103,SriLanka,Galle,12-Aug-15,Test,240,10222
252,3,SriLanka,Galle,12-Aug-15,Test,241,10225
253,78,SriLanka,Colombo(PSS),20-Aug-15,Test,242,10303
254,10,SriLanka,Colombo(PSS),20-Aug-15,Test,243,10313
255,18,SriLanka,Colombo(SSC),28-Aug-15,Test,244,10331
256,21,SriLanka,Colombo(SSC),28-Aug-15,Test,245,10352
257,43,SouthAfrica,Dharamsala,02-Oct-15,T20,246,10395
258,1,SouthAfrica,Cuttack,05-Oct-15,T20,247,10396
259,11,SouthAfrica,Kanpur,11-Oct-15,ODI,248,10407
260,12,SouthAfrica,Indore,14-Oct-15,ODI,249,10419
261,77,SouthAfrica,Rajkot,18-Oct-15,ODI,250,10496
262,138,SouthAfrica,Chennai,22-Oct-15,ODI,251,10634
263,7,SouthAfrica,Wankhede,25-Oct-15,ODI,252,10641
264,1,SouthAfrica,Mohali,05-Nov-15,Test,253,10642
265,29,SouthAfrica,Mohali,05-Nov-15,Test,254,10671
267,22,SouthAfrica,Nagpur,25-Nov-15,Test,255,10693
268,16,SouthAfrica,Nagpur,25-Nov-15,Test,256,10709
269,44,SouthAfrica,Delhi,03-Dec-15,Test,257,10753
270,88,SouthAfrica,Delhi,03-Dec-15,Test,258,10841
271,91,Australia,Perth,12-Jan-16,ODI,259,10932
272,59,Australia,Brisbane,15-Jan-16,ODI,260,10991
273,117,Australia,Melbourne,17-Jan-16,ODI,261,11108
274,106,Australia,Canberra,20-Jan-16,ODI,262,11214
275,8,Australia,Sydney,23-Jan-16,ODI,263,11222
276,90,Australia,Adelaide,26-Jan-16,T20,264,11312
277,59,Australia,Melbourne,29-Jan-16,T20,265,11371
278,50,Australia,Sydney,31-Jan-16,T20,266,11421
279,7,Bangladesh,Mirpur,24-Feb-16,T20,267,11428
280,49,Pakistan,Mirpur,27-Feb-16,T20,268,11477
281,56,SriLanka,Mirpur,01-Mar-16,T20,269,11533
283,41,Bangladesh,Mirpur,06-Mar-16,T20,270,11574
284,23,NewZealand,Nagpur,15-Mar-16,T20,271,11597
285,55,Pakistan,Kolkata,19-Mar-16,T20,272,11652
286,24,Bangladesh,Bengaluru,23-Mar-16,T20,273,11676
287,82,Australia,Mohali,27-Mar-16,T20,274,11758
288,89,WestIndies,Wankhede,31-Mar-16,T20,275,11847
289,200,WestIndies,NorthSound,21-Jul-16,Test,276,12047
290,44,WestIndies,Kingston,30-Jul-16,Test,277,12091
291,3,WestIndies,GrosIslet,09-Aug-16,Test,278,12094
292,4,WestIndies,GrosIslet,09-Aug-16,Test,279,12098
294,16,WestIndies,Lauderhill,27-Aug-16,T20,280,12114
296,9,NewZealand,Kanpur,22-Sep-16,Test,281,12123
297,18,NewZealand,Kanpur,22-Sep-16,Test,282,12141
298,9,NewZealand,Kolkata,30-Sep-16,Test,283,12150
299,45,NewZealand,Kolkata,30-Sep-16,Test,284,12195
300,211,NewZealand,Indore,08-Oct-16,Test,285,12406
301,17,NewZealand,Indore,08-Oct-16,Test,286,12423
302,85,NewZealand,Dharamsala,16-Oct-16,ODI,287,12508
303,9,NewZealand,Delhi,20-Oct-16,ODI,288,12517
304,154,NewZealand,Mohali,23-Oct-16,ODI,289,12671
305,45,NewZealand,Ranchi,26-Oct-16,ODI,290,12716
306,65,NewZealand,Visakhapatnam,29-Oct-16,ODI,291,12781
307,40,England,Rajkot,09-Nov-16,Test,292,12821
308,49,England,Rajkot,09-Nov-16,Test,293,12870
309,167,England,Visakhapatnam,17-Nov-16,Test,294,13037
310,81,England,Visakhapatnam,17-Nov-16,Test,295,13118
311,62,England,Mohali,26-Nov-16,Test,296,13180
312,6,England,Mohali,26-Nov-16,Test,297,13186
313,235,England,Wankhede,08-Dec-16,Test,298,13421
314,15,England,Chennai,16-Dec-16,Test,299,13436
315,122,England,Pune,15-Jan-17,ODI,300,13558
316,8,England,Cuttack,19-Jan-17,ODI,301,13566
317,55,England,Kolkata,22-Jan-17,ODI,302,13621
318,29,England,Kanpur,26-Jan-17,T20,303,13650
319,21,England,Nagpur,29-Jan-17,T20,304,13671
320,2,England,Bengaluru,01-Feb-17,T20,305,13673
321,204,Bangladesh,Hyderabad(Deccan),09-Feb-17,Test,306,13877
322,38,Bangladesh,Hyderabad(Deccan),09-Feb-17,Test,307,13915
323,0,Australia,Pune,23-Feb-17,Test,308,13915
324,13,Australia,Pune,23-Feb-17,Test,309,13928
325,12,Australia,Bengaluru,04-Mar-17,Test,310,13940
326,15,Australia,Bengaluru,04-Mar-17,Test,311,13955
327,6,Australia,Ranchi,16-Mar-17,Test,312,13961
328,81,Pakistan,Birmingham,04-Jun-17,ODI,313,14042
329,0,SriLanka,TheOval,08-Jun-17,ODI,314,14042
330,76,SouthAfrica,TheOval,11-Jun-17,ODI,315,14118
331,96,Bangladesh,Birmingham,15-Jun-17,ODI,316,14214
332,5,Pakistan,TheOval,18-Jun-17,ODI,317,14219
333,32,WestIndies,PortofSpain,23-Jun-17,ODI,318,14251
334,87,WestIndies,PortofSpain,25-Jun-17,ODI,319,14338
335,11,WestIndies,NorthSound,30-Jun-17,ODI,320,14349
336,3,WestIndies,NorthSound,02-Jul-17,ODI,321,14352
337,111,WestIndies,Kingston,06-Jul-17,ODI,322,14463
338,39,WestIndies,Kingston,09-Jul-17,T20,323,14502
339,3,SriLanka,Galle,26-Jul-17,Test,324,14505
340,103,SriLanka,Galle,26-Jul-17,Test,325,14608
341,13,SriLanka,Colombo(SSC),03-Aug-17,Test,326,14621
342,42,SriLanka,Pallekele,12-Aug-17,Test,327,14663
343,82,SriLanka,Dambulla,20-Aug-17,ODI,328,14745
344,4,SriLanka,Pallekele,24-Aug-17,ODI,329,14749
345,3,SriLanka,Pallekele,27-Aug-17,ODI,330,14752
346,131,SriLanka,Colombo(RPS),31-Aug-17,ODI,331,14883
347,110,SriLanka,Colombo(RPS),03-Sep-17,ODI,332,14993
348,82,SriLanka,Colombo(RPS),06-Sep-17,T20,333,15075
349,0,Australia,Chennai,17-Sep-17,ODI,334,15075
350,92,Australia,Kolkata,21-Sep-17,ODI,335,15167
351,28,Australia,Indore,24-Sep-17,ODI,336,15195
352,21,Australia,Bengaluru,28-Sep-17,ODI,337,15216
353,39,Australia,Nagpur,01-Oct-17,ODI,338,15255
354,22,Australia,Ranchi,07-Oct-17,T20,339,15277
355,0,Australia,Guwahati,10-Oct-17,T20,340,15277
356,121,NewZealand,Wankhede,22-Oct-17,ODI,341,15398
357,29,NewZealand,Pune,25-Oct-17,ODI,342,15427
358,113,NewZealand,Kanpur,29-Oct-17,ODI,343,15540
359,26,NewZealand,Delhi,01-Nov-17,T20,344,15566
360,65,NewZealand,Rajkot,04-Nov-17,T20,345,15631
361,13,NewZealand,Thiruvananthapuram,07-Nov-17,T20,346,15644
362,0,SriLanka,Kolkata,16-Nov-17,Test,347,15644
363,104,SriLanka,Kolkata,16-Nov-17,Test,348,15748
364,213,SriLanka,Nagpur,24-Nov-17,Test,349,15961
365,243,SriLanka,Delhi,02-Dec-17,Test,350,16204
366,50,SriLanka,Delhi,02-Dec-17,Test,351,16254
367,5,SouthAfrica,CapeTown,05-Jan-18,Test,352,16259
368,28,SouthAfrica,CapeTown,05-Jan-18,Test,353,16287
369,153,SouthAfrica,Centurion,13-Jan-18,Test,354,16440
370,5,SouthAfrica,Centurion,13-Jan-18,Test,355,16445
371,54,SouthAfrica,Johannesburg,24-Jan-18,Test,356,16499
372,41,SouthAfrica,Johannesburg,24-Jan-18,Test,357,16540
373,112,SouthAfrica,Durban,01-Feb-18,ODI,358,16652
374,46,SouthAfrica,Centurion,04-Feb-18,ODI,359,16698
375,160,SouthAfrica,CapeTown,07-Feb-18,ODI,360,16858
376,75,SouthAfrica,Johannesburg,10-Feb-18,ODI,361,16933
377,36,SouthAfrica,Gqeberha,13-Feb-18,ODI,362,16969
378,129,SouthAfrica,Centurion,16-Feb-18,ODI,363,17098
379,26,SouthAfrica,Johannesburg,18-Feb-18,T20,364,17124
380,1,SouthAfrica,Centurion,21-Feb-18,T20,365,17125
381,0,Ireland,Dublin(Malahide),27-Jun-18,T20,366,17125
382,9,Ireland,Dublin(Malahide),29-Jun-18,T20,367,17134
383,20,England,Manchester,03-Jul-18,T20,368,17154
384,47,England,Cardiff,06-Jul-18,T20,369,17201
385,43,England,Bristol,08-Jul-18,T20,370,17244
386,75,England,Nottingham,12-Jul-18,ODI,371,17319
387,45,England,Lord's,14-Jul-18,ODI,372,17364
388,71,England,Leeds,17-Jul-18,ODI,373,17435
389,149,England,Birmingham,01-Aug-18,Test,374,17584
390,51,England,Birmingham,01-Aug-18,Test,375,17635
391,23,England,Lord's,09-Aug-18,Test,376,17658
392,17,England,Lord's,09-Aug-18,Test,377,17675
393,97,England,Nottingham,18-Aug-18,Test,378,17772
394,103,England,Nottingham,18-Aug-18,Test,379,17875
395,46,England,Southampton,30-Aug-18,Test,380,17921
396,58,England,Southampton,30-Aug-18,Test,381,17979
397,49,England,TheOval,07-Sep-18,Test,382,18028
398,0,England,TheOval,07-Sep-18,Test,383,18028
399,139,WestIndies,Rajkot,04-Oct-18,Test,384,18167
400,45,WestIndies,Hyderabad(Deccan),12-Oct-18,Test,385,18212
402,140,WestIndies,Guwahati,21-Oct-18,ODI,386,18352
403,157,WestIndies,Visakhapatnam,24-Oct-18,ODI,387,18509
404,107,WestIndies,Pune,27-Oct-18,ODI,388,18616
405,16,WestIndies,Brabourne,29-Oct-18,ODI,389,18632
406,33,WestIndies,Thiruvananthapuram,01-Nov-18,ODI,390,18665
407,4,Australia,Brisbane,21-Nov-18,T20,391,18669
409,61,Australia,Sydney,25-Nov-18,T20,392,18730
410,3,Australia,Adelaide,06-Dec-18,Test,393,18733
411,34,Australia,Adelaide,06-Dec-18,Test,394,18767
412,123,Australia,Perth,14-Dec-18,Test,395,18890
413,17,Australia,Perth,14-Dec-18,Test,396,18907
414,82,Australia,Melbourne,26-Dec-18,Test,397,18989
415,0,Australia,Melbourne,26-Dec-18,Test,398,18989
416,23,Australia,Sydney,03-Jan-19,Test,399,19012
417,3,Australia,Sydney,12-Jan-19,ODI,400,19015
418,104,Australia,Adelaide,15-Jan-19,ODI,401,19119
419,46,Australia,Melbourne,18-Jan-19,ODI,402,19165
420,45,NewZealand,Napier,23-Jan-19,ODI,403,19210
421,43,NewZealand,MountMaunganui,26-Jan-19,ODI,404,19253
422,60,NewZealand,MountMaunganui,28-Jan-19,ODI,405,19313
423,24,Australia,Visakhapatnam,24-Feb-19,T20,406,19337
424,72,Australia,Bengaluru,27-Feb-19,T20,407,19409
425,44,Australia,Hyderabad(Deccan),02-Mar-19,ODI,408,19453
426,116,Australia,Nagpur,05-Mar-19,ODI,409,19569
427,123,Australia,Ranchi,08-Mar-19,ODI,410,19692
428,7,Australia,Mohali,10-Mar-19,ODI,411,19699
429,20,Australia,Delhi,13-Mar-19,ODI,412,19719
430,18,SouthAfrica,Southampton,05-Jun-19,ODI,413,19737
431,82,Australia,TheOval,09-Jun-19,ODI,414,19819
432,77,Pakistan,Manchester,16-Jun-19,ODI,415,19896
433,67,Afghanistan,Southampton,22-Jun-19,ODI,416,19963
434,72,WestIndies,Manchester,27-Jun-19,ODI,417,20035
435,66,England,Birmingham,30-Jun-19,ODI,418,20101
436,26,Bangladesh,Birmingham,02-Jul-19,ODI,419,20127
437,34,SriLanka,Leeds,06-Jul-19,ODI,420,20161
438,1,NewZealand,Manchester,09-Jul-19,ODI,421,20162
439,19,WestIndies,Lauderhill,03-Aug-19,T20,422,20181
440,28,WestIndies,Lauderhill,04-Aug-19,T20,423,20209
441,59,WestIndies,Providence,06-Aug-19,T20,424,20268
443,120,WestIndies,PortofSpain,11-Aug-19,ODI,425,20388
444,114,WestIndies,PortofSpain,14-Aug-19,ODI,426,20502
445,9,WestIndies,NorthSound,22-Aug-19,Test,427,20511
446,51,WestIndies,NorthSound,22-Aug-19,Test,428,20562
447,76,WestIndies,Kingston,30-Aug-19,Test,429,20638
448,0,WestIndies,Kingston,30-Aug-19,Test,430,20638
449,72,SouthAfrica,Mohali,18-Sep-19,T20,431,20710
450,9,SouthAfrica,Bengaluru,22-Sep-19,T20,432,20719
451,20,SouthAfrica,Visakhapatnam,02-Oct-19,Test,433,20739
452,31,SouthAfrica,Visakhapatnam,02-Oct-19,Test,434,20770
453,254,SouthAfrica,Pune,10-Oct-19,Test,435,21024
454,12,SouthAfrica,Ranchi,19-Oct-19,Test,436,21036
455,0,Bangladesh,Indore,14-Nov-19,Test,437,21036
456,136,Bangladesh,Kolkata,22-Nov-19,Test,438,21172
457,94,WestIndies,Hyderabad(Deccan),06-Dec-19,T20,439,21266
